Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
basehock,ICL,0.35,100,512,1,0.01,50,0.5057451078775714,0.0076613990372367885,0.006391177758959475,0.006005562943905171
basehock,ICL,0.15,100,512,1,0.01,300,0.5057200200702459,0.00916567169642743,0.008316404390249074,0.0071495367034123
basehock,ICL,0.15,100,512,1,0.01,200,0.5055444054189665,0.004369817872652724,0.00873300358593514,0.005887224544335596
basehock,ICL,0.15,100,512,1,0.02,200,0.5054691419969894,0.004917210235825394,0.010543457110791559,0.008371840936415154
basehock,ICL,0.2,100,512,1,0.01,150,0.5053938785750126,0.0045653605881972896,0.009910079521924638,0.007113399860410376
basehock,ICL,0.2,100,512,1,0.01,100,0.5053437029603615,0.007105255034606148,0.007063859884002106,0.004817793004505904
basehock,ICL,0.15,100,512,1,0.01,250,0.505218263923733,0.006103920750720237,0.008518213755238892,0.006699164023774968
basehock,ICL,0.2,100,512,1,0.01,200,0.5050928248871048,0.003556014166608693,0.008877737705517974,0.0070906412854110645
basehock,ICL,0.3,100,512,1,0.01,250,0.5049924736578022,0.0042024136666853696,0.00904395455473929,0.007196843937407616
basehock,ICL,0.35,100,512,1,0.01,250,0.504942298043151,0.004699596567711748,0.00824124568832022,0.006302353250449591
basehock,ICL,0.15,100,512,1,0.01,150,0.5049172102358254,0.0036255136777722376,0.008022721572520168,0.005244332869674994
basehock,ICL,0.3,100,512,1,0.01,150,0.5048419468138485,0.0033929810219903325,0.009358478516852894,0.006934678185920588
basehock,ICL,0.35,100,512,1,0.01,100,0.5045158053186152,0.004202488551325335,0.008973257165349368,0.0066129892550956144
basehock,ICL,0.35,100,512,1,0.01,200,0.5044154540893127,0.0038804277573477744,0.007053380655396116,0.0062470312697834466
basehock,ICL,0.3,100,512,1,0.01,200,0.5043652784746613,0.0030046773550586885,0.007125477522143911,0.00514974255446737
basehock,ICL,0.2,100,512,1,0.01,250,0.5035122930255896,0.003977821971997725,0.006831249334311347,0.006069172232384621
basehock,ICL,0.35,100,512,1,0.01,150,0.503487205218264,0.003131356356655529,0.007316049794358223,0.0057665105033821275
basehock,ICL,0.2,100,512,1,0.01,300,0.5029352734570999,0.002505140359314903,0.0057329201062264554,0.003792768784905337
coil20,ICL,0.25,100,512,1,0.05,300,0.6725694444444444,0.039556216345136064,0.7755414558441549,0.017269352307867
coil20,ICL,0.25,100,512,1,0.05,200,0.6646527777777779,0.028350774179992665,0.7607996631466323,0.014028142015172544
coil20,ICL,0.25,100,512,1,0.05,250,0.6636111111111112,0.03684706778457395,0.7702611796269359,0.01728344191745019
coil20,ICL,0.25,100,512,1,0.05,150,0.6576388888888889,0.03273405157807462,0.7567932758658913,0.017304125690607196
coil20,ICL,0.25,100,512,1,0.05,100,0.646423611111111,0.029800710068752578,0.747246038515967,0.010750300139780426
coil20,ICL,1.0,100,512,1,0.05,100,0.6383333333333334,0.029794499347329615,0.7320204330565546,0.012642388559716495
coil20,ICL,0.6,100,512,1,0.08,250,0.6365277777777778,0.024667347025151668,0.7495293594627258,0.011723525493286063
coil20,ICL,0.2,100,512,1,0.01,300,0.6362152777777779,0.04092056241825793,0.7355022931926588,0.01794561074315357
coil20,ICL,0.6,100,512,1,0.08,200,0.6324652777777777,0.03636852364284087,0.7456982023026909,0.014007843008361779
coil20,ICL,0.3,100,512,1,0.01,200,0.6310416666666666,0.023634690024006342,0.7291643047659482,0.009785351273174387
coil20,ICL,0.3,100,512,1,0.03,250,0.6308333333333332,0.03290772850986545,0.7406227722503164,0.019496634272681015
coil20,ICL,0.6,100,512,1,0.08,300,0.6263541666666665,0.039891269925647455,0.7467009662069971,0.017770886122822977
coil20,ICL,1.0,100,512,1,0.09,300,0.6239236111111113,0.03313851852615056,0.7404924318473092,0.014840193726018008
coil20,ICL,0.95,100,512,1,0.05,300,0.6234375,0.03076935538966779,0.7407144453182586,0.01395286670050135
coil20,ICL,0.2,100,512,1,0.01,200,0.6224305555555556,0.035929095232962095,0.7154260779581143,0.01505012286208488
coil20,ICL,1.0,100,512,1,0.09,250,0.6219097222222223,0.03444575700344126,0.7409970428470928,0.01716718125155729
coil20,ICL,0.35,100,512,1,0.03,200,0.6188541666666667,0.027755438065481707,0.7350932737867295,0.011133342268048069
coil20,ICL,1.0,100,512,1,0.09,200,0.6177083333333333,0.03976778418457102,0.738138172161576,0.017540212293903675
