Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,ICL,0.45,100,512,1,0.07,100,0.6516666666666666,0.026321551513428576,0.7437924799712443,0.007817418563759688
coil20,ICL,0.55,100,512,1,0.07,150,0.6516319444444443,0.03184031564277404,0.7543216672590368,0.014080097174970187
coil20,ICL,0.9,100,512,1,0.08,300,0.6515277777777778,0.023611723848258524,0.7658706823934432,0.01251581465103869
coil20,ICL,0.45,100,512,1,0.04,300,0.6514583333333334,0.03193077908191058,0.7597851022241723,0.01862124547992826
coil20,ICL,0.35,100,512,1,0.04,250,0.6512152777777778,0.04084601265257353,0.774323715233773,0.016352803573721344
coil20,ICL,0.4,100,512,1,0.06,200,0.6509375,0.04493183011673227,0.7839394877467014,0.017500609288114886
coil20,ICL,0.2,100,512,1,0.08,100,0.6508333333333334,0.028710553991412764,0.7410574113079493,0.012254424264108863
coil20,ICL,0.85,100,512,1,0.06,200,0.650798611111111,0.026663659950574604,0.7504515032586108,0.01195270152905
coil20,ICL,0.9,100,512,1,0.02,250,0.6507291666666667,0.03509898027408865,0.7698213586958474,0.016563654822583596
coil20,ICL,0.9,100,512,1,0.05,150,0.6504861111111111,0.034784735392956845,0.7453763665499634,0.017302386732180833
coil20,ICL,0.55,100,512,1,0.07,100,0.6503125,0.029195153912248462,0.7480387416916959,0.016897435403522565
coil20,ICL,0.6,100,512,1,0.05,250,0.6501041666666666,0.030948604441850817,0.7637958575323159,0.012233604867210387
coil20,ICL,0.6,100,512,1,0.05,300,0.6499999999999999,0.036113114260680125,0.7604903117211683,0.015616204124370037
coil20,ICL,0.25,100,512,1,0.07,300,0.6499652777777778,0.036426556919326225,0.7788805719335077,0.01632856595927434
coil20,ICL,0.5,100,512,1,0.07,300,0.6498611111111112,0.040757795777822285,0.765296826948664,0.019161046457597305
coil20,ICL,0.5,100,512,1,0.07,300,0.6498611111111112,0.040757795777822285,0.765296826948664,0.019161046457597305
coil20,ICL,0.7,100,512,1,0.07,200,0.6498263888888889,0.03490844161389183,0.757919892244032,0.01135107987189647
coil20,ICL,0.25,100,512,1,0.1,250,0.6497222222222223,0.03485765255088221,0.7647765544995864,0.017004425260416525
coil20,ICL,0.15,100,512,1,0.07,100,0.649375,0.032921281322100586,0.7660004000730446,0.015357299227171176
coil20,ICL,0.8,100,512,1,0.02,200,0.6491666666666667,0.021462265910772136,0.7541128753108761,0.01465917491914397
coil20,ICL,0.25,100,512,1,0.11,300,0.6491319444444446,0.03233448102559317,0.7680236687256806,0.012245676754195469
coil20,ICL,0.85,100,512,1,0.02,250,0.6486458333333334,0.03228716739862052,0.7603775849602343,0.012919783915678457
coil20,ICL,0.6,100,512,1,0.04,300,0.6485069444444445,0.03156498278952622,0.7751654334157048,0.012436235821796066
coil20,ICL,0.45,100,512,1,0.08,300,0.648298611111111,0.04660207324889824,0.769265321515236,0.019206084166799964
coil20,ICL,0.9,100,512,1,0.02,300,0.6480208333333332,0.0487558732414888,0.7679407292395222,0.020494640446821887
coil20,ICL,0.4,100,512,1,0.08,300,0.6478819444444445,0.03409112230456147,0.7677182777545695,0.016646096809571274
coil20,ICL,0.25,100,512,1,0.1,100,0.6478124999999999,0.03242265472995162,0.7395466429156099,0.013587864160161693
coil20,ICL,0.95,100,512,1,0.06,300,0.6477777777777778,0.035098379152544955,0.7589692205422897,0.013173412992013613
coil20,ICL,0.2,100,512,1,0.08,150,0.6477430555555557,0.03438928925790094,0.7546075942209363,0.01707793815065317
coil20,ICL,0.4,100,512,1,0.08,250,0.6476041666666668,0.03610608605528273,0.7645272387613147,0.015816242410395722
coil20,ICL,0.3,100,512,1,0.1,200,0.6474652777777778,0.043175390469650535,0.7665015962541677,0.020297500146301738
coil20,ICL,0.5,100,512,1,0.06,150,0.6473958333333333,0.039889698300167614,0.7716387888143031,0.01853925498590558
coil20,ICL,0.5,100,512,1,0.06,150,0.6473958333333333,0.039889698300167614,0.7716387888143031,0.01853925498590558
coil20,ICL,0.35,100,512,1,0.04,300,0.6472569444444444,0.03799218860076273,0.773531389784212,0.016663458801236954
coil20,ICL,0.95,100,512,1,0.02,200,0.6471527777777778,0.04161449279761162,0.7715501578935331,0.022123022607062493
coil20,ICL,0.4,100,512,1,0.06,300,0.6470486111111111,0.04174233580406863,0.7769776368306306,0.015226694332462775
coil20,ICL,0.3,100,512,1,0.1,150,0.646875,0.03769080828691511,0.7599532640226763,0.01459402686303666
coil20,ICL,0.45,100,512,1,0.04,250,0.646423611111111,0.03244272835430132,0.7558090779971376,0.016330154100265656
coil20,ICL,0.25,100,512,1,0.05,100,0.646423611111111,0.029800710068752578,0.747246038515967,0.010750300139780426
coil20,ICL,0.7,100,512,1,0.09,300,0.6463194444444443,0.03627041517511633,0.7610255796895453,0.014579735623941015
coil20,ICL,0.45,100,512,1,0.08,50,0.6462152777777778,0.03445835502596836,0.7321097013766578,0.013608662462197092
coil20,ICL,1.0,100,512,1,0.06,200,0.6462152777777777,0.03254009501468631,0.7512730795331735,0.013232851331852074
coil20,ICL,0.1,100,512,1,0.08,250,0.6458680555555556,0.03707479809702523,0.7517737602031362,0.015426653921079718
coil20,ICL,0.1,100,512,1,0.08,250,0.6458680555555556,0.03707479809702523,0.7517737602031362,0.015426653921079718
coil20,ICL,1.0,100,512,1,0.04,150,0.6458333333333333,0.029001682848150225,0.7384998804857064,0.013702811044515158
coil20,ICL,0.1,100,512,1,0.05,300,0.6453819444444445,0.026969378318718207,0.7667702317994435,0.011298137353554666
coil20,ICL,0.1,100,512,1,0.05,300,0.6453819444444445,0.026969378318718207,0.7667702317994435,0.011298137353554666
coil20,ICL,1.0,100,512,1,0.04,200,0.6453125,0.035027735786167434,0.7446034870773158,0.01573247413924651
coil20,ICL,0.5,100,512,1,0.07,200,0.645173611111111,0.04440996655305908,0.7513233546160316,0.018073957136180648
coil20,ICL,0.5,100,512,1,0.07,200,0.645173611111111,0.04440996655305908,0.7513233546160316,0.018073957136180648
coil20,ICL,0.6,100,512,1,0.02,100,0.6449999999999999,0.03633915706809603,0.7370911605793468,0.012292539922060449
coil20,ICL,0.45,100,512,1,0.07,150,0.6449652777777779,0.02236809220735899,0.7523671449394851,0.010520791835706601
coil20,ICL,0.95,100,512,1,0.04,150,0.6447916666666665,0.04563535735643343,0.7376605387951096,0.016067838257186003
coil20,ICL,0.6,100,512,1,0.04,200,0.6445486111111112,0.04040943222290015,0.7713748177647111,0.02115866938716795
coil20,ICL,0.2,100,512,1,0.07,250,0.6444444444444445,0.0365055910651005,0.7678556054883056,0.016171972737034936
coil20,ICL,0.45,100,512,1,0.04,50,0.6444097222222223,0.02714511738346964,0.7344638342462558,0.010857179264537707
coil20,ICL,0.25,100,512,1,0.1,200,0.6443055555555556,0.033678479317448426,0.754093811789194,0.01227233385726434
coil20,ICL,0.45,100,512,1,0.07,300,0.6443055555555556,0.029814724953855815,0.7529422848028199,0.015459674279734287
coil20,ICL,0.85,100,512,1,0.04,250,0.6442708333333333,0.029281252264582173,0.7496747618994236,0.01269915967775888
coil20,ICL,0.1,100,512,1,0.08,150,0.6442361111111111,0.025311618830875005,0.7376801246584027,0.012966190071873112
coil20,ICL,0.1,100,512,1,0.08,150,0.6442361111111111,0.025311618830875005,0.7376801246584027,0.012966190071873112
coil20,ICL,0.85,100,512,1,0.06,150,0.6440625,0.02287293280648009,0.7394966230930343,0.014945578917117237
coil20,ICL,0.15,100,512,1,0.06,200,0.6440277777777778,0.03445410370834914,0.775967876228042,0.014627179617379983
